Date,Open,High,Low,Close,Adj Close,Volume
2005-09-15,38.02,38.099998,37.0,37.009997999999996,28.803724,1529800
2005-09-16,37.0,37.0,36.599998,36.599998,28.484631,62400
2005-09-19,36.599998,36.700001,36.450001,36.700001,28.562469,1162300
2005-09-20,36.599998,37.0,36.599998,36.700001,28.562469,654900
2005-09-21,36.599998,36.599998,36.0,36.400002,28.328978999999997,424300
2005-09-22,36.400002,37.200001,36.400002,37.200001,28.951595,864800
2005-09-23,37.200001,38.099998,37.200001,37.68,29.325151,1249900
2005-09-26,37.75,38.150002,37.75,37.75,29.379644,821400
2005-09-27,37.75,37.900002,37.139998999999996,37.25,28.990510999999998,1514000
2005-09-28,37.240002000000004,37.400002,36.799999,37.0,28.795938,875700
2005-09-29,36.91,36.91,36.25,36.599998,28.484631,2659200
2005-09-30,36.599998,36.599998,35.599998,35.799999,27.862007000000002,4014800
2005-10-03,35.299999,35.900002,34.169998,34.700001,27.005915,10007600
2005-10-04,34.0,34.299999,33.25,33.900002,26.383308000000003,8040300
2005-10-05,34.0,34.099998,33.32,33.650002,26.188736,6304400
2005-10-06,33.400002,33.650002,33.209998999999996,33.369999,25.970819,7552200
2005-10-07,33.279999,33.599998,33.130001,33.599998,26.149822,7055200
2005-10-10,33.599998,33.599998,33.0,33.029999,25.706215,3400800
2005-10-11,33.040001000000004,33.389998999999996,32.98,33.0,25.682861,3675400
2005-10-12,32.900002,33.299999,32.720001,32.77,25.503861999999998,4134500
2005-10-13,32.529999,32.700001,32.48,32.549999,25.332638,3184100
2005-10-14,32.52,32.75,32.380001,32.389998999999996,25.208115,2487500
2005-10-17,32.34,32.77,32.0,32.48,25.278162,1910400
2005-10-18,32.299999,32.549999,32.150002,32.43,25.239252,1737900
2005-10-19,32.279999,33.16,32.209998999999996,33.16,25.807384,1784400
2005-10-20,33.16,34.060001,33.099998,33.580002,26.134254000000002,2789600
2005-10-21,33.779999,34.5,33.630001,34.0,26.461132,2881800
2005-10-24,35.25,36.48,34.93,36.290001000000004,28.243368,4013400
2005-10-25,35.34,37.470001,35.279999,37.18,28.936026000000002,2900400
2005-10-26,36.849998,37.720001,36.700001,37.0,28.795938,2208000
2005-10-27,36.950001,37.0,35.799999,36.279999,28.235578999999998,2033000
2005-10-28,36.5,37.200001,36.209998999999996,37.099998,28.873768,1430200
2005-10-31,37.209998999999996,37.599998,36.959998999999996,37.220001,28.967160999999997,1211600
2005-11-01,36.900002,36.959998999999996,36.459998999999996,36.560001,28.453509999999998,1574900
2005-11-02,36.220001,36.900002,36.18,36.799999,28.726709000000003,1201600
2005-11-03,36.720001,37.619999,36.720001,37.419998,29.210703000000002,1887900
2005-11-04,37.330002,37.419998,37.02,37.169998,29.015537,1731900
2005-11-07,37.099998,37.169998,36.82,37.02,28.898449,1658700
2005-11-08,36.650002,37.200001,36.650002,36.959998999999996,28.851627,2119200
2005-11-09,36.959998999999996,38.18,36.900002,37.880001,29.569785999999997,2152200
